init_name;avi_name;order;family
INDIAN BUSTARD;Indian Bustard;Otidiformes;Otididae
INDIAN PITTA;Indian Pitta;Passeriformes;Pittidae
INDIAN ROLLER;Indian Roller;Coraciiformes;Coraciidae
INDIAN VULTURE;Long-billed Vulture;Accipitriformes;Accipitridae
INDIGO BUNTING;Indigo Bunting;Passeriformes;Cardinalidae
INDIGO FLYCATCHER;Indigo Flycatcher;Passeriformes;Muscicapidae
INLAND DOTTEREL;Inland Dotterel;Charadriiformes;Charadriidae
IVORY BILLED ARACARI;Ivory-billed Aracari;Piciformes;Ramphastidae
IVORY GULL;Ivory Gull;Charadriiformes;Laridae
IWI;Southern Brown Kiwi;Apterygiformes;Apterygidae
JABIRU;Black-necked Stork;Pelecaniformes;Ciconiidae
JACK SNIPE;Jack Snipe;Charadriiformes;Scolopacidae
JACOBIN PIGEON;JACOBIN PIGEON;Columbiformes;Columbidae
JANDAYA PARAKEET;Jandaya Parakeet;Psittaciformes;Psittacidae
JAPANESE ROBIN;Japanese Robin;Passeriformes;Muscicapidae
JAVA SPARROW;Java Sparrow;Passeriformes;Estrildidae
JOCOTOCO ANTPITTA;Jocotoco Antpitta;Passeriformes;Grallariidae
KAGU;Kagu;Eurypygiformes;Rhynochetidae
KAKAPO;Kakapo;Psittaciformes;Strigopidae
KILLDEAR;Killdeer;Charadriiformes;Charadriidae
KING EIDER;King Eider;Anseriformes;Anatidae
KING VULTURE;King Vulture;Accipitriformes;Cathartidae
KIWI;Little Spotted Kiwi;Apterygiformes;Apterygidae
KNOB BILLED DUCK;Knob-billed Duck;Anseriformes;Anatidae
KOOKABURRA;Laughing Kookaburra;Coraciiformes;Alcedinidae
LARK BUNTING;Lark Bunting;Passeriformes;Passerellidae
LAUGHING GULL;Laughing Gull;Charadriiformes;Laridae
LAZULI BUNTING;Lazuli Bunting;Passeriformes;Cardinalidae
LESSER ADJUTANT;Lesser Adjutant;Pelecaniformes;Ciconiidae
LILAC ROLLER;Lilac-breasted Roller;Coraciiformes;Coraciidae
LIMPKIN;Limpkin;Gruiformes;Aramidae
LITTLE AUK;Dovekie;Charadriiformes;Alcidae
LOGGERHEAD SHRIKE;Loggerhead Shrike;Passeriformes;Laniidae
LONG-EARED OWL;Long-eared Owl;Strigiformes;Strigidae
LUCIFER HUMMINGBIRD;Lucifer Hummingbird;Apodiformes;Trochilidae
MAGPIE GOOSE;Magpie Goose;Anseriformes;Anseranatidae
MALABAR HORNBILL;Malabar Pied-Hornbill;Bucerotiformes;Bucerotidae
MALACHITE KINGFISHER;Malachite Kingfisher;Coraciiformes;Alcedinidae
MALAGASY WHITE EYE;Malagasy White-eye;Passeriformes;Zosteropidae
MALEO;Maleo;Galliformes;Megapodiidae
MALLARD DUCK;Mallard;Anseriformes;Anatidae
MANDRIN DUCK;Mandarin Duck;Anseriformes;Anatidae
MANGROVE CUCKOO;Mangrove Cuckoo;Cuculiformes;Cuculidae
MARABOU STORK;Marabou Stork;Pelecaniformes;Ciconiidae
MASKED BOBWHITE;Northern Bobwhite�;Galliformes;Odontophoridae
MASKED BOOBY;Masked Booby;Pelecaniformes;Sulidae
MASKED LAPWING;Masked Lapwing;Charadriiformes;Charadriidae
MCKAYS BUNTING;McKay's Bunting;Passeriformes;Calcariidae
MERLIN;Merlin;Falconiformes;Falconidae
